ts,decision_type,reason,predicted_log_return,predicted_close,last_close,actual_next_close
2025-02-01T00:00:00.000Z,удержание,|predicted_log_return| <= noise_threshold или условия входа не выполнены,-0.001277916905,100504.68,100633.2,97698.9
2025-02-02T00:00:00.000Z,удержание,|predicted_log_return| <= noise_threshold или условия входа не выполнены,-0.001207366898,97581.01,97698.9,101337.5
2025-02-03T00:00:00.000Z,удержание,|predicted_log_return| <= noise_threshold или условия входа не выполнены,-0.00091268023,101245.05,101337.5,97767.9
2025-02-04T00:00:00.000Z,удержание,|predicted_log_return| <= noise_threshold или условия входа не выполнены,-0.000706533206,97698.85,97767.9,96616.1
2025-05-10T00:00:00.000Z,покупка,"predicted_log_return > noise_threshold и EMA12 > EMA26, открытой позиции нет",0.002107810209,105041.17,104820,104126
2025-05-12T00:00:00.000Z,продажа,Сработал стоп-лосс,0.001776875268,102972.81,102790,104127.7
2025-05-22T00:00:00.000Z,покупка,"predicted_log_return > noise_threshold и EMA12 > EMA26, открытой позиции нет",0.002147836326,111942.08,111701.9,107324
2025-05-23T00:00:00.000Z,продажа,Сработал стоп-лосс,0.001911510973,107529.35,107324,107767.2
2025-06-07T00:00:00.000Z,покупка,"predicted_log_return > noise_threshold и EMA12 > EMA26, открытой позиции нет",0.002033900781,105768.5,105553.6,105729.1
2025-06-09T00:00:00.000Z,продажа,Сработал тейк-профит,0.001450560144,110427.06,110267,110274.1
