ts,decision_type,reason,predicted_log_return,predicted_close,last_close,close,ema12,ema26
2025-02-01T00:00:00.000Z,удержание,Условия входа/выхода не выполнены,-0.001277916905,100504.68,100633.2,100633.2,102471.036155,101257.151454
2025-02-02T00:00:00.000Z,удержание,Условия входа/выхода не выполнены,-0.001207366898,97581.01,97698.9,97698.9,101736.861362,100993.577272
2025-02-03T00:00:00.000Z,удержание,Условия входа/выхода не выполнены,-0.00091268023,101245.05,101337.5,101337.5,101675.421152,101019.05303
2025-02-04T00:00:00.000Z,удержание,Условия входа/выхода не выполнены,-0.000706533206,97698.85,97767.9,97767.9,101074.264052,100778.226879
2025-02-28T00:00:00.000Z,покупка,predicted_log_return > noise_threshold AND no open position,0.001164865861,84437.7,84339.4,84339.4,90759.229947,94039.904014
2025-03-02T00:00:00.000Z,покупка,predicted_log_return > noise_threshold AND no open position,0.002098656489,94467.55,94269.5,94269.5,90687.029725,93509.325115
2025-03-04T00:00:00.000Z,покупка,predicted_log_return > noise_threshold AND no open position,0.002845948771,87526.64,87277.9,87277.9,89581.002348,92547.763782
2025-03-06T00:00:00.000Z,покупка,predicted_log_return > noise_threshold AND no open position,0.002780037623,90180.36,89930,89930,89768.47742,92220.860581
2025-03-01T00:00:00.000Z,продажа,EMA12 < EMA26,0.001688893469,86201.56,86056.1,86056.1,90035.671493,93448.511124
2025-03-03T00:00:00.000Z,продажа,Сработал stop-loss,0.002477112833,86433.54,86219.7,86219.7,89999.748229,92969.352884
2025-03-05T00:00:00.000Z,продажа,EMA12 < EMA26,0.002853368647,90867.61,90608.7,90608.7,89739.109679,92404.129428
2025-03-07T00:00:00.000Z,продажа,Сработал stop-loss,0.00279363503,87039.92,86797.1,86797.1,89311.342433,91819.100538
